check_number,group,check,status,severity,public_url,viewport,observed_utc,expected,observed,evidence_reference,owner_next_action
1,First contact,Value is obvious in five seconds,not-tested,,,,,,,,
2,First contact,Headline matches the product,not-tested,,,,,,,,
3,First contact,Primary action is unambiguous,not-tested,,,,,,,,
4,First contact,Mobile first screen holds,not-tested,,,,,,,,
5,Core journey,Sign up or log in works,not-tested,,,,,,,,
6,Core journey,First key action succeeds,not-tested,,,,,,,,
7,Core journey,Recovery path is clear,not-tested,,,,,,,,
8,Core journey,Empty states guide forward,not-tested,,,,,,,,
9,Launch truth,Pricing path is consistent,not-tested,,,,,,,,
10,Launch truth,Launch promise matches the build,not-tested,,,,,,,,
11,Launch truth,Confirmations explain next steps,not-tested,,,,,,,,
12,Launch truth,Obvious accessibility blockers are absent,not-tested,,,,,,,,

